countryName,reportingYear,pollutant,emissions
Austria,2017,Mercury and compounds (as Hg),41.31
Austria,2017,Nickel and compounds (as Ni),4609.9
Austria,2017,Nonylphenol and Nonylphenol ethoxylates,57.52
Austria,2017,Pentachlorophenol (PCP),1.91
Austria,2017,Phenols (as total C),456
Austria,2017,Total nitrogen,4350300
Austria,2017,Total organic carbon(as total C or COD/3) (TOC),14701500
Austria,2017,Total phosphorus,302850
Austria,2017,Trichloromethane,76.5
Austria,2017,Zinc and compounds (as Zn),50231
Austria,2018,Cadmium and compounds (as Cd),17.43
Austria,2018,"Chloro-alkanes, C10-C13",20.8
Austria,2018,Chromium and compounds (as Cr),842.1
Austria,2018,Copper and compounds (as Cu),7322.4
Austria,2018,Cyanides (as total CN),2260
Austria,2018,Di-(2-ethyl hexyl) phthalate (DEHP),12.7
Austria,2018,Dichloromethane (DCM),28
Austria,2018,Diuron,5.16
Austria,2018,Fluoranthene,2.95
Austria,2018,Fluorides (as total F),127660
Austria,2018,Halogenated organic compounds (as AOX),4780
Austria,2018,Lead and compounds (as Pb),968.4
Austria,2018,Nickel and compounds (as Ni),5131.4
Austria,2018,Nonylphenol and Nonylphenol ethoxylates,66.31
Austria,2018,Pentachlorophenol (PCP),1.91
Austria,2018,Phenols (as total C),560.6
Austria,2018,Polycyclic aromatic hydrocarbons (PAHs),6.93
Austria,2018,Total nitrogen,5352800
Austria,2018,Total organic carbon(as total C or COD/3) (TOC),14764700
Austria,2018,Total phosphorus,339050
Austria,2018,Trichloromethane,82
Austria,2018,Zinc and compounds (as Zn),66367
Austria,2019,Arsenic and compounds (as As),387
Austria,2019,Cadmium and compounds (as Cd),15.28
Austria,2019,Chlorides (as total Cl),43300000
Austria,2019,"Chloro-alkanes, C10-C13",21.2
Austria,2019,Chromium and compounds (as Cr),782.1
Austria,2019,Copper and compounds (as Cu),8911.4
Austria,2019,Cyanides (as total CN),1304
Austria,2019,Di-(2-ethyl hexyl) phthalate (DEHP),17.17
Austria,2019,Diuron,5.39
Austria,2019,Fluoranthene,2.93
Austria,2019,Fluorides (as total F),124160
Austria,2019,Halogenated organic compounds (as AOX),61460
Austria,2019,Isoproturon,1.16
Austria,2019,Lead and compounds (as Pb),963
Austria,2019,Nickel and compounds (as Ni),5744.2
