reportingYear,countryName,Total,Nitrogen,Phosphorus,TOC,"Heavy metals (Cd, Hg, Ni, Pb)"
2019,FR,48188794.67999,37109400,3199010,7869500,10884.67999
2019,HR,5970698.23,4486600,503500,980000,598.23
2019,HU,4572403.87,1565600,142350,2863800,653.87
2019,IE,17440013.65,6487132.779,868831.103,10081630.867,2418.901
2019,IT,53865724.7684,24776324.6,2802583.7756,26202361.1,84455.2928
2019,LT,167000,167000,0,0,0
2019,LU,263900,0,11900,252000,0
2019,LV,1940491.7,545000,55100,1340000,391.7
2019,MT,1787747.9,1012500,134180,641000,67.9
2019,NL,30334882.57,10999100,1181190,18147300,7292.57
2019,PL,29041529.23,12600800,449840,15960500,30389.23
2019,PT,35936835.6,14648700,1304560,19978400,5175.6
2019,RO,22203244.39,7083800,607620,14507000,4824.39
2019,SE,66197193.93,9215800,300730,56673800,6863.93
2019,SI,1759318.43,556208,133587,1069138,385.43
2019,SK,0,0,0,0,0
2020,AT,17994490.67,5479700,334860,12174100,5830.67
2020,BE,14691066.39,4292900,609710,9784200,4256.39
2020,BG,6022528,2037362,231437,3744490,9239
2020,CY,761849.85,633600,127280,0,969.85
2020,CZ,9471190.26482,3953251.88,245064.99,5269176.55,3696.84482
2020,DE,81900234.58,32018600,1248370,48610300,22964.58
2020,DK,5440257.7055,1759605.1448,134490.6667,3545539,622.894
2020,EE,0,0,0,0,0
2020,EL,8265584.18,3848900,924900,3488200,3584.18
2020,ES,93394507.45,58258200,3876200,31246300,13807.45
2020,EU,0,0,0,0,0
2020,FI,35340474.83,7192800,120970,28018600,8104.83
2020,FR,52500056.34002,42831000,3209570,6448900,10586.34002
2020,HR,6039149.71,4248000,449680,1340000,1469.71
2020,HU,9747385.76,3575300,337870,5823900,10315.76
2020,IE,16583239.258,6808087.479,873803.622,8899334.655,2013.502
2020,IT,49952678.4739,20939453.7,2837632.5569,26085999.3,89592.917
2020,LT,0,0,0,0,0
2020,LU,352550.2,129000,53500,170000,50.2
2020,LV,1523850.29,373000,40100,1110000,750.29
2020,MT,0,0,0,0,0
2020,NL,26173870.69,9979600,1011450,15175800,7020.69
2020,PL,23886012.81,10958300,306040,12584000,37672.81
2020,PT,29892995.45,11945400,1130930,16810000,6665.45
2020,RO,20876187.77,6995600,635210,13241700,3677.77
2020,SE,64488382.84,9287500,291580,54902700,6602.84
2020,SI,1284382.74,492038,105154,686749,441.74
2020,SK,0,0,0,0,0
2021,AT,17646834.5,5183000,288820,12169500,5514.5
2021,BE,13832105.58,4111200,476180,9240500,4225.58
2021,BG,5115264,2452703,276726,2373903,11932
2021,CY,1232889.6,727800,134420,370000,669.6
2021,CZ,0,0,0,0,0
2021,DE,85990246.95,33023900,1225560,51713000,27786.95
2021,DK,3050538.377186,1484734.2,115962.4,1448503,1338.777186
2021,EE,0,0,0,0,0
2021,EL,8275585.8,4280300,1068500,2923200,3585.8
2021,ES,91056198.9,54727400,4475660,31833400,19738.9
2021,EU,0,0,0,0,0
2021,FI,39199186.18,7009900,110670,32069500,9116.18
2021,FR,54019845.710013,43444600,2934430,7627500,13315.710013
2021,HR,4787265.75,3628000,339260,819000,1005.75
2021,HU,12480948.13,4020800,484980,7968200,6968.13
2021,IE,15925488.141,5937798.106,836999.973,9148556.297,2133.765
2021,IT,107237885.2604,23334000.8,2769697.6876,81018718.7,115468.0728
2021,LT,0,0,0,0,0
2021,LU,305979.3,105000,12900,188000,79.3
2021,LV,1239162.75,358000,31300,849000,862.75
2021,MT,0,0,0,0,0
2021,NL,27145076.73,10497400,1074770,15565200,7706.73
2021,PL,26733098.95,12465700,362550,13871600,33248.95
2021,PT,32018508.48,12507300,1157170,18347300,6738.48
2021,RO,26373306.04,7317500,677760,18371800,6246.04
2021,SE,62067281.94,9487200,331720,52240800,7561.94
2021,SI,1190506.8,491943,101619,596576,368.8
2021,SK,0,0,0,0,0
